Course ID;Course Title;Is Paid;Price;Subscribers;Reviews;Lectures;Level;Duration;Publish Date;Subject,,,,,,
2563480;Complete course in AutoCAD : 2D and 3D;TRUE;$34,00;156.801;4.460;202;All Levels;16.2 hours;2019-10-13;Graphic Design,,,,,
363252;Communication Skills: Be a Star Presenter on a Panels;TRUE;$199,00;23.762;239;26;All Levels;54 mins;2014-12-11;Public Speaking,,,,,
3832360;Excel Lessons - Zero to Pro for Teachers and Office Workers;TRUE;$59,00;64.381;782;27;Expert Level;5.8 hours;2021-03-10;Excel Basic,,,,,
3288036;Machine Learning & Deep Learning in Python & R;TRUE;$29,00;356.951;4.963;296;Intermediate Level;33.1 hours;2020-07-04;Web Development,,,,,
817668;Photoshop CC Actions Course - Over 100 Actions Included!;TRUE;$99,00;26.590;137;28;All Levels;3.2 hours;2016-05-02;Graphic Design,,,,,
3599784;Power BI Essentials;TRUE;$94,00;42.476;622;37;Beginner Level;10.6 hours;2020-11-03;Business Finance,,,,,
2127840;Learning Microsoft Azure Step by Step Part 1;FALSE;Free;45.501;2.780;8;Intermediate Level;1 hour;2019-03-12;Web Development,,,,,,
3002664;Data Storytelling and Data Visualization [2022];TRUE;$199,00;26.531;3.204;29;All Levels;5.8 hours;2020-04-29;Business Finance,,,,,
4435452;Time Management Mastery: 10X Your Time, Join the New Rich;TRUE;$34,00;38.010;462;54;Beginner Level;1.6 hours;2021-12-19;Public Speaking,,,,
1665118;Code Your Own Cryptocurrency on Ethereum (ERC-20 Token);FALSE;Free;36.848;680;15;Intermediate Level;8 hours;2018-05-05;Cyber Security,,,,,,
3373188;Python Programming for Beginners - Practical & In Real-Time;TRUE;$5,00;40.346;506;50;All Levels;2.1 hours;2020-08-02;Web Development,,,,,
1676024;Ultimate Ableton Live 10, COMPLETE: Parts 4,5, and 6;TRUE;$89,00;8.510;812;136;Beginner Level;7.8 hours;2018-05-06;Musical Instruments,,
2125590;How to play Saxophone with Dan Christian - Sax Fundamentals;FALSE;Free;4.840;169;15;All Levels;1.6 hours;2019-01-08;Musical Instruments,,,,,,
1715612;Creating LUTs in Photoshop - For Images and Videos!;TRUE;$99,00;24.057;59;21;Intermediate Level;2.8 hours;2018-06-05;Graphic Design,,,,,
4357140;Containerize SpringBoot Node Express Apps & Deploy on Azure;TRUE;$119,00;30.105;69;32;Expert Level;2.3 hours;2021-10-21;Cyber Security,,,,,
613946;Google Analytics for Beginners - Master Google Analytics;TRUE;$199,00;41.887;10.515;35;Intermediate Level;2.5 hours;2015-09-28;Business Finance,,,,,
2466918;Typing Course - How to Touch Type - Revolutionary Method;TRUE;$149,00;32.113;599;72;All Levels;1.5 hours;2019-08-27;Excel Basic,,,,,
3847346;Digital Ilustration with Photoshop;TRUE;$59,00;21.788;79;28;Intermediate Level;9.8 hours;2021-02-14;Graphic Design,,,,,
1132572;How to Design an Awesome Letterhead in Adobe Illustrator;TRUE;$19,00;43.119;1.539;20;Intermediate Level;37 mins;2017-03-03;Graphic Design,,,,,
3581477;Ultimate Ethical Hacking and Penetration Testing (UEH);TRUE;$39,00;111.855;1.588;360;All Levels;62 hours;2020-11-06;Cyber Security,,,,,
622414;Taming Big Data with Apache Spark and Python - Hands On!;TRUE;$24,00;81.069;13.679;68;Intermediate Level;7 hours;2015-10-06;Web Development,,,,,
922280;Structured Note Taking Vol 1: Create an Ideas Bank;TRUE;$199,00;18.791;124;20;All Levels;2.3 hours;2016-08-04;Public Speaking,,,,,
3900570;Active Directory Pentesting Full Course - Red Team Hacking;TRUE;$19,00;30.881;416;56;Beginner Level;9.7 hours;2021-03-30;Cyber Security,,,,,
1266526;Master your Decision-Making, and Critical Thinking Skills !;TRUE;$94,00;23.476;7.862;61;All Levels;4.5 hours;2017-07-16;Public Speaking,,,,
437398;Build Responsive Real-World Websites with HTML and CSS;TRUE;$199,00;336.416;83.500;234;All Levels;37.5 hours;2015-03-24;Web Development,,,,,
778740;The Ultimate 2D/3D Photoshop & Graphic Design Course ! 2020;TRUE;$89,00;37.621;438;66;All Levels;2.4 hours;2019-02-11;Graphic Design,,,,,
599170;Photoshop CC for Web Design Beginners;FALSE;Free;109.155;3.601;14;Beginner Level;2.1 hours;2015-09-25;Graphic Design,,,,,,
1636824;SINGING SIMPLIFIED #2: Greater Range, Power and Control;TRUE;$99,00;11.400;466;52;All Levels;3.5 hours;2018-06-26;Musical Instruments,,,,
1587718;Node JS: Advanced Concepts;TRUE;$119,00;50.771;7.873;170;Beginner Level;16.1 hours;2018-03-12;Web Development,,,,,
1660470;Getting started with DevOps using Azure DevOps & Docker;TRUE;$19,00;55.000;709;25;All Levels;1.1 hours;2018-04-25;Web Development,,,,,
857104;ChatBots: How to Make a Facebook Messenger Chat Bot in 1hr;TRUE;$19,00;86.695;1.160;44;All Levels;2.1 hours;2016-06-15;Web Development,,,,,
4050430;Starting 6 Businesses in 2022;TRUE;$199,00;24.850;200;10;Beginner Level;2.1 hours;2021-06-07;Business Finance,,,,,
1341620;The Successful Entrepreneurial Mindset;TRUE;$189,00;37.757;231;20;Beginner Level;1.9 hours;2017-10-26;Business Finance,,,,,
1030420;Excel VBA programming by Examples (MS Excel 2016);TRUE;$19,00;85.311;5.881;35;All Levels;4.5 hours;2016-12-14;Excel Basic,,,,,
